flag_id,customer_id,account_id,flag_type,severity,flag_status,raised_date,closed_date,raised_by,description,last_updated_ts
FLAG000062,CUST000459,ACC00000659,PEP,LOW,UNDER_REVIEW,2024-01-02 11:18:00+00:00,,USER703,Flag description 62,2024-12-29 22:11:00+00:00
FLAG000063,CUST000169,ACC00000377,PEP,LOW,UNDER_REVIEW,2025-12-17 12:19:00+00:00,,USER171,Flag description 63,2024-05-14 19:08:00+00:00
FLAG000064,CUST000477,ACC00000742,AML,LOW,UNDER_REVIEW,2025-08-05 15:23:00+00:00,,USER809,Flag description 64,2026-02-17 08:16:00+00:00
FLAG000065,CUST000145,ACC00000040,FRAUD,HIGH,OPEN,2024-10-07 03:01:00+00:00,,USER744,Flag description 65,2026-03-02 23:22:00+00:00
FLAG000066,CUST000441,ACC00000509,ADVERSE_MEDIA,LOW,UNDER_REVIEW,2023-10-20 20:28:00+00:00,,USER462,Flag description 66,2024-01-29 11:04:00+00:00
FLAG000067,CUST000098,ACC00000525,FRAUD,HIGH,OPEN,2025-06-17 12:38:00+00:00,,USER101,Flag description 67,2025-09-26 09:52:00+00:00
FLAG000068,CUST000360,ACC00000483,ADVERSE_MEDIA,LOW,CLOSED,2023-10-19 17:01:00+00:00,,USER873,Flag description 68,2025-08-26 00:00:00+00:00
FLAG000069,CUST000184,ACC00000495,FRAUD,LOW,UNDER_REVIEW,2025-08-20 18:02:00+00:00,2024-06-18 13:19:00+00:00,USER568,Flag description 69,2024-02-12 05:20:00+00:00
FLAG000070,CUST000160,ACC00000432,SANCTION,HIGH,CLOSED,2025-06-22 02:11:00+00:00,,USER973,Flag description 70,2024-08-26 13:27:00+00:00
FLAG000071,CUST000331,ACC00000454,PEP,MEDIUM,ESCALATED,2023-04-21 04:05:00+00:00,,USER361,Flag description 71,2024-12-01 15:18:00+00:00
FLAG000072,CUST000260,ACC00000551,AML,HIGH,ESCALATED,2024-10-02 00:38:00+00:00,,USER378,Flag description 72,2024-10-18 22:38:00+00:00
FLAG000073,CUST000260,ACC00000714,AML,LOW,CLOSED,2024-02-29 01:18:00+00:00,,USER281,Flag description 73,2026-05-03 23:15:00+00:00
FLAG000074,CUST000081,ACC00000419,AML,MEDIUM,UNDER_REVIEW,2026-01-15 00:00:00+00:00,2026-01-07 11:26:00+00:00,USER159,Flag description 74,2024-06-16 17:43:00+00:00
FLAG000075,CUST000183,,AML,MEDIUM,ESCALATED,2023-05-13 05:27:00+00:00,,USER193,Flag description 75,2025-12-16 10:23:00+00:00
FLAG000076,CUST000157,ACC00000323,AML,HIGH,CLOSED,2025-05-13 22:24:00+00:00,2025-02-19 13:52:00+00:00,USER569,Flag description 76,2024-09-18 10:27:00+00:00
FLAG000077,CUST000473,ACC00000087,PEP,HIGH,OPEN,2023-05-13 14:36:00+00:00,,USER638,Flag description 77,2026-02-27 22:37:00+00:00
FLAG000078,CUST000150,,ADVERSE_MEDIA,HIGH,UNDER_REVIEW,2023-12-25 15:39:00+00:00,2025-03-07 22:15:00+00:00,USER990,Flag description 78,2025-05-01 18:09:00+00:00
FLAG000079,CUST000344,ACC00000338,SANCTION,HIGH,UNDER_REVIEW,2025-06-26 13:02:00+00:00,,USER644,Flag description 79,2026-04-18 09:44:00+00:00
FLAG000080,CUST000295,ACC00000626,AML,MEDIUM,OPEN,2025-10-25 02:30:00+00:00,,USER278,Flag description 80,2024-09-14 13:34:00+00:00
FLAG000081,CUST000066,ACC00000176,AML,HIGH,CLOSED,2023-06-04 05:49:00+00:00,2024-12-16 17:20:00+00:00,USER605,Flag description 81,2024-04-16 03:48:00+00:00
FLAG000082,CUST000139,,AML,LOW,OPEN,2023-05-26 23:07:00+00:00,,USER117,Flag description 82,2025-09-12 04:17:00+00:00
FLAG000083,CUST000388,ACC00000015,AML,HIGH,UNDER_REVIEW,2024-07-31 18:08:00+00:00,,USER824,Flag description 83,2024-09-06 14:03:00+00:00
FLAG000084,CUST000381,,FRAUD,LOW,CLOSED,2025-08-25 21:47:00+00:00,,USER353,Flag description 84,2025-03-12 19:14:00+00:00
FLAG000085,CUST000211,ACC00000358,FRAUD,HIGH,OPEN,2025-04-10 13:51:00+00:00,,USER800,Flag description 85,2024-11-28 15:00:00+00:00
FLAG000086,CUST000133,,FRAUD,CRITICAL,OPEN,2024-09-03 17:29:00+00:00,,USER648,Flag description 86,2026-03-16 04:39:00+00:00
FLAG000087,CUST000334,ACC00000531,FRAUD,MEDIUM,OPEN,2025-11-29 13:18:00+00:00,,USER596,Flag description 87,2024-02-15 06:27:00+00:00
FLAG000088,CUST000124,ACC00000216,ADVERSE_MEDIA,LOW,UNDER_REVIEW,2025-02-26 19:17:00+00:00,,USER492,Flag description 88,2025-08-27 10:10:00+00:00
FLAG000089,CUST000064,ACC00000271,FRAUD,LOW,OPEN,2024-01-21 05:54:00+00:00,,USER932,Flag description 89,2026-02-21 05:03:00+00:00
FLAG000090,CUST000241,,FRAUD,LOW,ESCALATED,2025-03-19 03:34:00+00:00,,USER811,Flag description 90,2025-01-02 21:28:00+00:00
FLAG000091,CUST000268,,AML,MEDIUM,OPEN,2023-07-10 01:11:00+00:00,,USER440,Flag description 91,2026-05-04 12:30:00+00:00
FLAG000092,CUST000105,,ADVERSE_MEDIA,CRITICAL,OPEN,2023-10-28 19:55:00+00:00,,USER965,Flag description 92,2024-07-15 23:11:00+00:00
FLAG000093,CUST000069,,FRAUD,MEDIUM,OPEN,2024-05-03 20:37:00+00:00,2026-04-26 21:09:00+00:00,USER948,Flag description 93,2026-01-13 14:50:00+00:00
FLAG000094,CUST000008,ACC00000068,FRAUD,HIGH,OPEN,2026-01-20 09:29:00+00:00,,USER265,Flag description 94,2024-11-16 06:43:00+00:00
FLAG000095,CUST000143,ACC00000730,FRAUD,MEDIUM,ESCALATED,2024-02-21 05:50:00+00:00,,USER136,Flag description 95,2024-01-20 18:28:00+00:00
FLAG000096,CUST000492,ACC00000015,AML,HIGH,UNDER_REVIEW,2025-04-21 03:23:00+00:00,,USER277,Flag description 96,2024-12-18 15:37:00+00:00
FLAG000097,CUST000046,ACC00000637,FRAUD,MEDIUM,OPEN,2025-03-29 17:14:00+00:00,,USER171,Flag description 97,2024-01-02 03:37:00+00:00
FLAG000098,CUST000162,ACC00000237,ADVERSE_MEDIA,MEDIUM,OPEN,2026-01-14 02:02:00+00:00,,USER397,Flag description 98,2024-04-30 21:34:00+00:00
FLAG000099,CUST000260,ACC00000089,AML,LOW,ESCALATED,2025-02-25 13:41:00+00:00,,USER608,Flag description 99,2024-07-08 02:13:00+00:00
FLAG000100,CUST000076,ACC00000434,FRAUD,LOW,CLOSED,2025-06-27 17:20:00+00:00,,USER115,Flag description 100,2024-09-28 01:05:00+00:00
FLAG000101,CUST000098,ACC00000391,FRAUD,LOW,OPEN,2024-08-06 22:43:00+00:00,,USER603,Flag description 101,2025-10-20 05:02:00+00:00
FLAG000102,CUST000332,ACC00000125,FRAUD,LOW,UNDER_REVIEW,2025-03-16 13:05:00+00:00,,USER773,Flag description 102,2025-05-09 15:44:00+00:00
FLAG000103,CUST000014,,ADVERSE_MEDIA,LOW,OPEN,2024-10-06 11:41:00+00:00,2024-01-16 19:32:00+00:00,USER525,Flag description 103,2025-02-04 16:13:00+00:00
FLAG000104,CUST000048,,FRAUD,MEDIUM,UNDER_REVIEW,2025-08-20 03:22:00+00:00,2025-04-08 15:16:00+00:00,USER711,Flag description 104,2026-01-07 09:45:00+00:00
FLAG000105,CUST000404,ACC00000651,AML,LOW,OPEN,2026-01-19 09:32:00+00:00,,USER879,Flag description 105,2025-07-30 17:59:00+00:00
FLAG000106,CUST000267,ACC00000660,SANCTION,LOW,OPEN,2026-03-05 06:50:00+00:00,,USER577,Flag description 106,2025-05-21 04:20:00+00:00
FLAG000107,CUST000004,,FRAUD,MEDIUM,UNDER_REVIEW,2024-03-11 08:37:00+00:00,,USER685,Flag description 107,2025-11-12 06:56:00+00:00
FLAG000108,CUST000381,ACC00000357,FRAUD,LOW,UNDER_REVIEW,2026-03-10 14:24:00+00:00,,USER180,Flag description 108,2026-01-18 15:48:00+00:00
FLAG000109,CUST000116,ACC00000477,AML,HIGH,UNDER_REVIEW,2024-06-08 19:05:00+00:00,,USER220,Flag description 109,2025-06-30 21:09:00+00:00
FLAG000110,CUST000486,ACC00000765,FRAUD,LOW,ESCALATED,2024-06-11 11:17:00+00:00,,USER433,Flag description 110,2024-06-24 11:36:00+00:00
FLAG000111,CUST000051,,AML,HIGH,ESCALATED,2025-02-20 09:20:00+00:00,,USER999,Flag description 111,2025-03-02 06:22:00+00:00
FLAG000112,CUST000267,ACC00000791,AML,LOW,OPEN,2025-04-04 07:38:00+00:00,,USER716,Flag description 112,2025-06-12 14:46:00+00:00
FLAG000113,CUST000068,ACC00000083,AML,MEDIUM,CLOSED,2023-11-25 16:21:00+00:00,,USER959,Flag description 113,2024-07-12 01:06:00+00:00
FLAG000114,CUST000218,ACC00000347,ADVERSE_MEDIA,CRITICAL,OPEN,2024-06-06 04:05:00+00:00,,USER154,Flag description 114,2026-04-13 02:24:00+00:00
FLAG000115,CUST000117,,FRAUD,LOW,OPEN,2023-09-25 15:50:00+00:00,,USER344,Flag description 115,2024-01-02 22:26:00+00:00
FLAG000116,CUST000149,,AML,MEDIUM,UNDER_REVIEW,2023-01-10 17:43:00+00:00,,USER145,Flag description 116,2025-09-01 04:08:00+00:00
FLAG000117,CUST000335,ACC00000699,PEP,LOW,CLOSED,2025-09-24 17:32:00+00:00,,USER323,Flag description 117,2024-02-05 23:20:00+00:00
FLAG000118,CUST000473,ACC00000679,SANCTION,LOW,OPEN,2025-04-11 21:54:00+00:00,,USER894,Flag description 118,2025-05-04 04:54:00+00:00
FLAG000119,CUST000394,ACC00000245,FRAUD,HIGH,ESCALATED,2026-03-23 09:57:00+00:00,2025-09-29 13:10:00+00:00,USER479,Flag description 119,2025-02-21 06:51:00+00:00
FLAG000120,CUST000394,ACC00000311,SANCTION,CRITICAL,OPEN,2025-03-03 10:34:00+00:00,,USER478,Flag description 120,2024-01-26 06:09:00+00:00
