account_id,customer_id,account_type,currency,balance,credit_limit,opened_date,closed_date,account_status,branch_code,last_updated_ts
ACC00000019,CUST000056,SAVINGS,GBP,364194.67,5000,2015-04-06,,DORMANT,BR765,2025-08-10 15:13:00+00:00
ACC00000020,CUST000228,CURRENT,USD,499508.32,25000,2017-09-10,,ACTIVE,BR269,2026-02-17 13:17:00+00:00
ACC00000021,CUST000227,SAVINGS,EUR,13693.69,25000,2017-08-13,,ACTIVE,BR244,2026-02-03 22:49:00+00:00
ACC00000022,CUST000351,CURRENT,USD,196838.59,50000,2016-11-07,,ACTIVE,BR397,2024-07-09 08:32:00+00:00
ACC00000023,CUST000246,CURRENT,GBP,254244.64,0,2017-09-26,,ACTIVE,BR635,2025-11-18 01:38:00+00:00
ACC00000024,CUST000161,CURRENT,USD,360930.16,10000,2025-12-21,,ACTIVE,BR801,2025-02-12 05:43:00+00:00
ACC00000025,CUST000077,SAVINGS,GBP,467316.88,5000,2020-01-17,,ACTIVE,BR309,2024-10-18 08:00:00+00:00
ACC00000026,CUST000485,CURRENT,GBP,452061.94,50000,2015-07-08,,ACTIVE,BR922,2025-02-20 06:01:00+00:00
ACC00000027,CUST000012,CURRENT,GBP,433155.27,5000,2025-10-03,,ACTIVE,BR728,2026-03-11 13:42:00+00:00
ACC00000028,CUST000487,CURRENT,GBP,112112.42,10000,2021-02-20,,ACTIVE,BR831,2024-05-12 08:17:00+00:00
ACC00000029,CUST000142,CURRENT,GBP,25655.86,0,2017-02-13,,ACTIVE,BR480,2025-04-18 19:50:00+00:00
ACC00000030,CUST000063,CURRENT,USD,4604.93,25000,2019-01-23,,ACTIVE,BR631,2025-10-12 10:06:00+00:00
ACC00000031,CUST000220,CURRENT,GBP,286083.69,10000,2023-08-12,,ACTIVE,BR719,2024-08-14 07:01:00+00:00
ACC00000032,CUST000005,SAVINGS,GBP,274394.12,10000,2025-11-10,,ACTIVE,BR357,2025-12-27 10:14:00+00:00
ACC00000033,CUST000046,CURRENT,GBP,130263.68,5000,2024-09-22,,ACTIVE,BR583,2024-03-06 19:18:00+00:00
ACC00000034,CUST000008,INVESTMENT,USD,322391.64,25000,2021-09-10,,ACTIVE,BR573,2026-01-15 22:38:00+00:00
ACC00000035,CUST000109,SAVINGS,EUR,444016.0,25000,2017-10-22,,CLOSED,BR315,2026-04-26 14:37:00+00:00
ACC00000036,CUST000211,CURRENT,GBP,54055.07,25000,2017-03-25,,ACTIVE,BR438,2025-03-06 20:38:00+00:00
ACC00000037,CUST000393,SAVINGS,GBP,309461.83,50000,2022-04-18,,ACTIVE,BR864,2024-12-02 17:24:00+00:00
ACC00000038,CUST000250,CURRENT,USD,321320.81,10000,2016-06-04,,ACTIVE,BR837,2025-05-02 17:00:00+00:00
ACC00000039,CUST000186,SAVINGS,GBP,221404.32,10000,2019-02-23,,ACTIVE,BR972,2024-12-17 10:20:00+00:00
ACC00000040,CUST000349,SAVINGS,GBP,215296.15,50000,2024-02-03,,ACTIVE,BR238,2024-12-20 14:09:00+00:00
ACC00000041,CUST000016,SAVINGS,USD,76473.39,0,2015-06-11,,CLOSED,BR268,2025-04-18 23:31:00+00:00
ACC00000042,CUST000041,LOAN,USD,361735.61,50000,2023-10-31,,ACTIVE,BR636,2024-08-03 17:44:00+00:00
ACC00000043,CUST000376,CURRENT,GBP,231966.42,0,2025-12-16,,ACTIVE,BR832,2024-06-23 21:24:00+00:00
ACC00000044,CUST000074,SAVINGS,GBP,216245.9,5000,2016-06-07,,ACTIVE,BR949,2024-09-18 12:02:00+00:00
ACC00000045,CUST000134,CURRENT,GBP,251356.15,5000,2017-10-13,,ACTIVE,BR585,2025-11-07 18:05:00+00:00
ACC00000046,CUST000197,CURRENT,GBP,291767.65,10000,2019-08-27,,CLOSED,BR110,2025-10-08 15:35:00+00:00
ACC00000047,CUST000272,CURRENT,USD,340911.91,50000,2017-08-19,2023-03-20,ACTIVE,BR425,2024-12-19 02:13:00+00:00
ACC00000048,CUST000091,CURRENT,USD,460476.48,50000,2019-01-20,,ACTIVE,BR526,2026-02-04 16:23:00+00:00
ACC00000049,CUST000448,CURRENT,GBP,425994.16,50000,2019-01-14,,ACTIVE,BR283,2024-11-07 09:48:00+00:00
ACC00000050,CUST000126,SAVINGS,USD,356175.58,50000,2015-02-13,,ACTIVE,BR253,2024-11-18 14:43:00+00:00
ACC00000051,CUST000191,SAVINGS,GBP,231575.98,25000,2025-01-11,,DORMANT,BR581,2025-04-23 00:09:00+00:00
ACC00000052,CUST000007,SAVINGS,GBP,441002.56,25000,2022-01-18,,ACTIVE,BR168,2025-10-01 18:10:00+00:00
ACC00000053,CUST000488,LOAN,GBP,360112.48,5000,2017-10-04,,ACTIVE,BR105,2025-10-01 11:36:00+00:00
ACC00000054,CUST000358,CURRENT,GBP,192137.47,25000,2015-11-17,,ACTIVE,BR419,2025-03-17 13:48:00+00:00
ACC00000055,CUST000193,SAVINGS,GBP,205514.84,0,2017-11-21,,CLOSED,BR818,2024-01-24 09:35:00+00:00
ACC00000056,CUST000488,CURRENT,GBP,470304.48,50000,2019-08-17,,ACTIVE,BR292,2026-01-31 15:15:00+00:00
ACC00000057,CUST000124,CURRENT,USD,324512.59,25000,2018-08-13,,ACTIVE,BR304,2025-01-19 17:08:00+00:00
ACC00000058,CUST000498,CURRENT,GBP,176929.06,5000,2016-12-20,,FROZEN,BR810,2025-01-22 19:54:00+00:00
ACC00000059,CUST000100,SAVINGS,EUR,233524.05,25000,2020-10-04,,DORMANT,BR196,2024-05-06 03:25:00+00:00
ACC00000060,CUST000368,SAVINGS,GBP,485325.53,0,2015-10-14,,ACTIVE,BR650,2024-08-11 06:07:00+00:00
ACC00000061,CUST000047,LOAN,GBP,76823.01,10000,2016-11-24,,ACTIVE,BR569,2025-08-07 09:11:00+00:00
ACC00000062,CUST000334,SAVINGS,GBP,99640.34,50000,2017-10-18,,DORMANT,BR438,2024-06-11 23:25:00+00:00
ACC00000063,CUST000105,SAVINGS,USD,343802.26,25000,2021-09-11,,ACTIVE,BR196,2025-07-17 13:22:00+00:00
ACC00000064,CUST000195,CURRENT,USD,38526.91,10000,2023-02-26,,DORMANT,BR162,2026-02-08 06:26:00+00:00
ACC00000065,CUST000481,CURRENT,GBP,238859.33,0,2018-11-06,,ACTIVE,BR739,2025-09-05 08:20:00+00:00
ACC00000066,CUST000469,SAVINGS,USD,82512.01,5000,2024-06-27,2021-03-07,ACTIVE,BR579,2026-02-27 11:40:00+00:00
ACC00000067,CUST000080,CURRENT,EUR,73938.62,0,2015-01-01,,ACTIVE,BR708,2024-04-18 21:56:00+00:00
ACC00000068,CUST000365,CURRENT,USD,243553.8,50000,2020-07-27,,ACTIVE,BR260,2025-12-04 20:48:00+00:00
ACC00000069,CUST000373,LOAN,USD,395708.64,5000,2021-09-28,,ACTIVE,BR168,2025-10-13 10:32:00+00:00
ACC00000070,CUST000275,CURRENT,USD,471242.62,0,2016-01-14,,DORMANT,BR458,2025-07-02 17:25:00+00:00
ACC00000071,CUST000062,SAVINGS,USD,244331.16,50000,2021-07-31,,ACTIVE,BR751,2024-08-18 12:31:00+00:00
ACC00000072,CUST000241,SAVINGS,GBP,113533.05,25000,2024-12-23,,ACTIVE,BR672,2026-02-13 14:18:00+00:00
ACC00000073,CUST000150,INVESTMENT,EUR,276199.41,0,2018-02-19,,ACTIVE,BR331,2026-04-25 14:10:00+00:00
ACC00000074,CUST000181,INVESTMENT,GBP,499626.92,5000,2025-12-31,,DORMANT,BR453,2024-06-30 12:18:00+00:00
ACC00000075,CUST000027,SAVINGS,GBP,176187.31,5000,2022-01-07,,CLOSED,BR743,2024-01-04 17:53:00+00:00
ACC00000076,CUST000334,INVESTMENT,GBP,126708.04,0,2022-11-24,,ACTIVE,BR114,2024-12-08 14:41:00+00:00
ACC00000077,CUST000487,INVESTMENT,GBP,336848.57,25000,2019-09-16,,ACTIVE,BR297,2024-06-25 21:58:00+00:00
ACC00000078,CUST000118,SAVINGS,USD,83230.97,10000,2017-03-22,,ACTIVE,BR381,2024-04-10 12:37:00+00:00
ACC00000079,CUST000218,SAVINGS,GBP,429028.14,5000,2016-01-02,,FROZEN,BR391,2025-10-30 13:26:00+00:00
ACC00000080,CUST000008,SAVINGS,GBP,249256.84,5000,2020-04-26,,ACTIVE,BR940,2025-02-24 06:40:00+00:00
ACC00000081,CUST000398,LOAN,EUR,402441.85,10000,2015-10-28,,ACTIVE,BR988,2024-01-30 19:14:00+00:00
ACC00000082,CUST000293,LOAN,GBP,165556.05,50000,2019-03-21,,ACTIVE,BR536,2024-05-21 19:39:00+00:00
ACC00000083,CUST000198,CURRENT,EUR,52554.49,0,2018-03-06,,ACTIVE,BR698,2025-05-30 02:38:00+00:00
ACC00000084,CUST000122,INVESTMENT,GBP,109478.58,25000,2021-09-21,,ACTIVE,BR846,2025-08-07 23:26:00+00:00
ACC00000085,CUST000485,INVESTMENT,GBP,278800.63,0,2019-10-30,,ACTIVE,BR413,2024-01-24 10:39:00+00:00
ACC00000086,CUST000291,CURRENT,USD,240614.48,10000,2018-01-04,,ACTIVE,BR476,2024-09-12 05:36:00+00:00
ACC00000087,CUST000346,SAVINGS,GBP,496799.73,50000,2019-11-05,,DORMANT,BR739,2025-10-02 15:43:00+00:00
ACC00000088,CUST000345,INVESTMENT,GBP,391367.33,0,2023-01-20,,DORMANT,BR885,2024-04-03 11:01:00+00:00
ACC00000089,CUST000078,CURRENT,USD,383533.82,5000,2021-03-22,,ACTIVE,BR512,2026-01-30 19:56:00+00:00
ACC00000090,CUST000386,CURRENT,USD,383897.92,10000,2017-11-18,,ACTIVE,BR360,2026-03-19 20:24:00+00:00
ACC00000091,CUST000125,CURRENT,GBP,276296.29,25000,2024-06-19,2021-09-29,ACTIVE,BR674,2025-07-19 16:55:00+00:00
ACC00000092,CUST000250,CURRENT,GBP,447640.44,25000,2016-09-01,,ACTIVE,BR654,2024-07-16 05:29:00+00:00
ACC00000093,CUST000343,SAVINGS,EUR,425971.11,5000,2020-09-19,,ACTIVE,BR756,2025-01-12 23:55:00+00:00
ACC00000094,CUST000170,SAVINGS,GBP,436216.32,0,2020-11-05,,DORMANT,BR775,2024-09-02 05:30:00+00:00
ACC00000095,CUST000485,SAVINGS,USD,300166.19,5000,2023-07-25,,DORMANT,BR307,2025-12-30 06:20:00+00:00
ACC00000096,CUST000380,CURRENT,GBP,47591.72,50000,2018-08-30,,ACTIVE,BR179,2024-05-15 09:04:00+00:00
ACC00000097,CUST000031,CURRENT,GBP,20463.13,25000,2023-12-22,,ACTIVE,BR706,2024-02-01 06:36:00+00:00
ACC00000098,CUST000178,CURRENT,GBP,472865.2,25000,2025-03-25,,ACTIVE,BR256,2025-04-17 14:15:00+00:00
ACC00000099,CUST000077,CURRENT,GBP,398488.38,0,2016-11-13,,ACTIVE,BR205,2025-12-01 19:28:00+00:00
ACC00000100,CUST000269,CURRENT,GBP,481136.79,25000,2020-09-13,,ACTIVE,BR848,2024-09-04 05:29:00+00:00
ACC00000101,CUST000054,SAVINGS,GBP,376660.99,5000,2024-07-16,,ACTIVE,BR321,2025-05-27 20:07:00+00:00
ACC00000102,CUST000244,LOAN,USD,487203.18,5000,2018-03-19,,CLOSED,BR386,2026-04-02 19:53:00+00:00
ACC00000103,CUST000159,CURRENT,GBP,389734.46,5000,2019-07-28,,ACTIVE,BR282,2024-12-05 05:15:00+00:00
ACC00000104,CUST000280,CURRENT,GBP,302876.2,10000,2016-08-01,2024-09-28,ACTIVE,BR369,2025-04-18 23:04:00+00:00
ACC00000105,CUST000323,CURRENT,EUR,428485.64,25000,2021-01-15,,DORMANT,BR677,2024-01-08 23:02:00+00:00
ACC00000106,CUST000174,LOAN,GBP,46443.36,25000,2019-04-28,,ACTIVE,BR204,2025-11-29 21:26:00+00:00
ACC00000107,CUST000446,CURRENT,GBP,279048.8,5000,2023-05-07,,ACTIVE,BR229,2025-06-16 15:55:00+00:00
ACC00000108,CUST000367,CURRENT,GBP,251189.39,50000,2018-09-05,,ACTIVE,BR916,2025-01-29 02:50:00+00:00
ACC00000109,CUST000011,SAVINGS,GBP,79358.38,50000,2024-05-31,,ACTIVE,BR634,2025-03-03 08:56:00+00:00
ACC00000110,CUST000189,CURRENT,GBP,54619.97,10000,2018-06-11,,ACTIVE,BR701,2026-01-03 17:07:00+00:00
ACC00000111,CUST000363,LOAN,USD,98720.05,50000,2022-02-04,,ACTIVE,BR760,2026-01-02 19:41:00+00:00
ACC00000112,CUST000126,SAVINGS,GBP,177627.41,5000,2024-09-22,,ACTIVE,BR884,2025-06-30 22:01:00+00:00
ACC00000113,CUST000020,INVESTMENT,GBP,362816.39,50000,2023-07-02,,ACTIVE,BR492,2025-03-25 15:52:00+00:00
ACC00000114,CUST000354,CURRENT,USD,352622.5,25000,2015-08-01,,ACTIVE,BR438,2026-01-13 01:18:00+00:00
ACC00000115,CUST000280,CURRENT,GBP,379792.17,10000,2020-07-20,,ACTIVE,BR689,2026-04-11 12:53:00+00:00
ACC00000116,CUST000272,LOAN,GBP,246687.46,5000,2016-09-27,,ACTIVE,BR890,2026-04-22 23:49:00+00:00
ACC00000117,CUST000246,LOAN,USD,434598.82,0,2021-01-21,,ACTIVE,BR973,2024-02-10 11:25:00+00:00
ACC00000118,CUST000284,LOAN,GBP,72919.34,5000,2017-10-17,,ACTIVE,BR706,2026-01-03 16:40:00+00:00
ACC00000119,CUST000272,SAVINGS,GBP,178687.14,25000,2017-06-20,,ACTIVE,BR719,2025-10-27 14:27:00+00:00
ACC00000120,CUST000162,INVESTMENT,GBP,408676.2,0,2024-02-15,,ACTIVE,BR383,2026-03-17 03:06:00+00:00
ACC00000121,CUST000235,SAVINGS,USD,57106.65,25000,2016-06-24,,ACTIVE,BR926,2024-05-29 08:48:00+00:00
ACC00000122,CUST000434,CURRENT,USD,96954.62,50000,2022-05-22,,ACTIVE,BR854,2026-04-25 18:48:00+00:00
ACC00000123,CUST000300,CURRENT,USD,484666.52,5000,2016-12-29,,ACTIVE,BR992,2026-03-21 03:46:00+00:00
ACC00000124,CUST000431,LOAN,GBP,383455.75,50000,2023-02-20,,CLOSED,BR730,2024-06-22 11:26:00+00:00
ACC00000125,CUST000081,CURRENT,GBP,-1673.28,10000,2022-06-25,,CLOSED,BR784,2025-11-03 10:09:00+00:00
ACC00000126,CUST000266,CURRENT,USD,416580.75,50000,2021-02-16,,ACTIVE,BR584,2024-09-05 15:13:00+00:00
ACC00000127,CUST000225,CURRENT,USD,234199.98,25000,2018-04-13,,ACTIVE,BR314,2024-09-27 03:21:00+00:00
ACC00000128,CUST000410,CURRENT,GBP,139812.94,25000,2020-01-24,,ACTIVE,BR272,2025-10-19 22:04:00+00:00
ACC00000129,CUST000271,CURRENT,USD,81487.21,25000,2021-02-19,,DORMANT,BR102,2025-04-14 22:31:00+00:00
ACC00000130,CUST000228,SAVINGS,EUR,129337.89,50000,2015-03-22,,CLOSED,BR902,2026-02-09 07:48:00+00:00
ACC00000131,CUST000388,SAVINGS,GBP,356175.87,0,2017-03-13,2022-03-24,ACTIVE,BR337,2024-09-23 10:18:00+00:00
ACC00000132,CUST000253,CURRENT,USD,204579.35,0,2023-06-17,,ACTIVE,BR321,2025-12-06 14:21:00+00:00
ACC00000133,CUST000367,INVESTMENT,GBP,312867.4,10000,2019-12-26,,DORMANT,BR193,2026-03-17 14:44:00+00:00
ACC00000134,CUST000442,SAVINGS,USD,118952.9,25000,2023-06-29,,CLOSED,BR922,2024-09-21 18:17:00+00:00
ACC00000135,CUST000310,CURRENT,EUR,375369.16,10000,2017-05-10,,ACTIVE,BR729,2025-08-31 01:48:00+00:00
ACC00000136,CUST000183,CURRENT,EUR,262473.39,10000,2017-10-08,,ACTIVE,BR250,2024-05-23 04:33:00+00:00
ACC00000137,CUST000311,CURRENT,USD,392543.95,25000,2018-12-10,,ACTIVE,BR246,2024-10-22 00:14:00+00:00
ACC00000138,CUST000161,CURRENT,GBP,64687.14,50000,2021-11-16,,ACTIVE,BR268,2025-01-14 18:23:00+00:00
ACC00000139,CUST000032,SAVINGS,USD,211555.54,5000,2025-12-24,,ACTIVE,BR586,2025-12-31 09:19:00+00:00
ACC00000140,CUST000484,INVESTMENT,GBP,458600.13,25000,2017-02-21,,ACTIVE,BR995,2026-01-03 05:36:00+00:00
ACC00000141,CUST000410,CURRENT,USD,448522.96,5000,2022-10-29,,CLOSED,BR100,2025-10-11 09:30:00+00:00
ACC00000142,CUST000095,SAVINGS,GBP,475679.47,5000,2021-04-29,,ACTIVE,BR431,2025-12-31 14:43:00+00:00
ACC00000143,CUST000342,SAVINGS,USD,255658.42,50000,2021-01-29,,ACTIVE,BR179,2024-10-28 04:47:00+00:00
ACC00000144,CUST000383,LOAN,EUR,339510.31,25000,2017-03-22,,ACTIVE,BR153,2026-04-04 22:08:00+00:00
ACC00000145,CUST000078,SAVINGS,GBP,471588.83,25000,2016-01-28,,ACTIVE,BR240,2024-05-30 19:18:00+00:00
ACC00000146,CUST000142,CURRENT,GBP,218502.24,25000,2018-10-30,,ACTIVE,BR623,2025-01-28 08:40:00+00:00
ACC00000147,CUST000205,SAVINGS,GBP,383926.69,5000,2022-02-18,,ACTIVE,BR926,2024-08-21 00:54:00+00:00
ACC00000148,CUST000162,SAVINGS,USD,357401.0,50000,2023-09-27,,ACTIVE,BR550,2024-08-04 18:19:00+00:00
ACC00000149,CUST000049,SAVINGS,GBP,256261.09,0,2019-01-20,2025-01-19,ACTIVE,BR535,2024-05-31 18:00:00+00:00
ACC00000150,CUST000330,CURRENT,GBP,30138.5,25000,2022-09-28,,ACTIVE,BR780,2024-09-22 11:46:00+00:00
ACC00000151,CUST000022,SAVINGS,GBP,165843.33,0,2024-01-12,,CLOSED,BR583,2025-06-04 23:55:00+00:00
ACC00000152,CUST000469,SAVINGS,GBP,197833.69,5000,2025-09-11,,ACTIVE,BR434,2025-06-13 12:30:00+00:00
ACC00000153,CUST000090,SAVINGS,GBP,385048.18,5000,2017-11-11,,DORMANT,BR409,2025-09-25 05:22:00+00:00
ACC00000154,CUST000016,SAVINGS,GBP,214206.5,10000,2020-10-23,,ACTIVE,BR612,2025-10-21 04:37:00+00:00
ACC00000155,CUST000054,SAVINGS,USD,193599.46,50000,2015-03-19,2022-02-07,ACTIVE,BR878,2025-05-28 10:33:00+00:00
ACC00000156,CUST000096,SAVINGS,GBP,13732.34,10000,2018-06-27,,CLOSED,BR220,2025-01-18 12:55:00+00:00
ACC00000157,CUST000016,SAVINGS,GBP,460872.03,0,2017-11-01,,CLOSED,BR346,2025-05-11 20:10:00+00:00
ACC00000158,CUST000321,INVESTMENT,GBP,71230.81,5000,2018-03-14,,ACTIVE,BR673,2025-06-21 15:11:00+00:00
ACC00000159,CUST000195,SAVINGS,GBP,285151.42,25000,2023-07-01,,ACTIVE,BR502,2025-05-10 12:00:00+00:00
ACC00000160,CUST000245,CURRENT,USD,488755.15,25000,2020-12-30,,ACTIVE,BR486,2025-11-15 02:21:00+00:00
ACC00000161,CUST000312,CURRENT,USD,489923.77,50000,2016-03-09,,FROZEN,BR892,2024-08-18 09:13:00+00:00
ACC00000162,CUST000296,INVESTMENT,USD,398530.74,0,2023-04-21,,CLOSED,BR494,2024-08-17 04:17:00+00:00
ACC00000163,CUST000025,SAVINGS,GBP,437285.73,10000,2020-08-02,,ACTIVE,BR823,2025-09-15 23:50:00+00:00
ACC00000164,CUST000111,CURRENT,GBP,486193.88,0,2024-05-19,2024-01-30,ACTIVE,BR585,2024-05-02 20:12:00+00:00
ACC00000165,CUST000359,CURRENT,EUR,206749.18,0,2025-04-08,2023-06-11,ACTIVE,BR463,2024-12-31 15:29:00+00:00
ACC00000166,CUST000007,INVESTMENT,GBP,442320.34,50000,2019-02-08,,ACTIVE,BR419,2025-08-06 20:58:00+00:00
ACC00000167,CUST000461,CURRENT,USD,348899.15,10000,2024-11-04,,CLOSED,BR958,2024-01-13 23:54:00+00:00
ACC00000168,CUST000328,CURRENT,USD,436140.91,25000,2022-12-09,,ACTIVE,BR634,2026-04-18 16:57:00+00:00
ACC00000169,CUST000465,SAVINGS,USD,359383.28,25000,2025-07-06,,ACTIVE,BR424,2024-08-21 23:12:00+00:00
ACC00000170,CUST000417,SAVINGS,EUR,153416.09,5000,2026-04-07,,ACTIVE,BR643,2025-01-07 21:02:00+00:00
ACC00000171,CUST000235,CURRENT,GBP,168799.47,10000,2021-06-07,,ACTIVE,BR180,2025-02-12 20:06:00+00:00
ACC00000172,CUST000320,SAVINGS,GBP,412636.8,5000,2021-03-09,,ACTIVE,BR719,2024-12-03 16:04:00+00:00
ACC00000173,CUST000181,CURRENT,USD,449605.3,50000,2024-08-05,,ACTIVE,BR962,2024-10-04 17:34:00+00:00
ACC00000174,CUST000372,SAVINGS,USD,303252.54,0,2020-02-18,,ACTIVE,BR319,2026-01-29 17:55:00+00:00
ACC00000175,CUST000446,SAVINGS,GBP,69165.21,25000,2021-11-05,,DORMANT,BR270,2024-03-22 01:28:00+00:00
ACC00000176,CUST000412,SAVINGS,GBP,198988.73,0,2016-12-13,,CLOSED,BR748,2025-08-03 16:15:00+00:00
ACC00000177,CUST000398,SAVINGS,USD,320159.07,0,2021-11-08,,ACTIVE,BR953,2024-09-07 08:51:00+00:00
ACC00000178,CUST000030,CURRENT,GBP,443227.78,25000,2024-02-13,,ACTIVE,BR384,2026-01-27 05:44:00+00:00
ACC00000179,CUST000309,SAVINGS,GBP,310301.64,25000,2022-01-05,,ACTIVE,BR828,2025-10-28 07:14:00+00:00
ACC00000180,CUST000265,CURRENT,USD,307184.67,10000,2017-01-08,,DORMANT,BR246,2025-12-07 22:29:00+00:00
ACC00000181,CUST000368,CURRENT,EUR,218282.63,25000,2016-10-13,,ACTIVE,BR960,2024-06-30 01:38:00+00:00
ACC00000182,CUST000418,CURRENT,USD,169351.56,5000,2016-09-20,,DORMANT,BR547,2024-09-29 17:17:00+00:00
ACC00000183,CUST000039,CURRENT,USD,404974.69,25000,2020-05-20,,ACTIVE,BR673,2024-04-03 23:12:00+00:00
ACC00000184,CUST000108,SAVINGS,GBP,322622.29,0,2017-02-06,,ACTIVE,BR552,2026-01-20 02:57:00+00:00
ACC00000185,CUST000260,CURRENT,GBP,386577.17,0,2018-09-14,,ACTIVE,BR601,2024-05-15 16:19:00+00:00
ACC00000186,CUST000051,SAVINGS,GBP,439892.21,10000,2016-04-15,,ACTIVE,BR811,2024-03-03 06:14:00+00:00
ACC00000187,CUST000116,CURRENT,GBP,37561.87,0,2016-11-23,,ACTIVE,BR907,2024-09-06 18:48:00+00:00
ACC00000188,CUST000193,CURRENT,USD,266403.91,5000,2021-05-30,,ACTIVE,BR356,2025-08-18 15:29:00+00:00
ACC00000189,CUST000097,SAVINGS,GBP,191946.74,10000,2026-01-20,,ACTIVE,BR801,2024-04-10 17:56:00+00:00
ACC00000190,CUST000329,SAVINGS,GBP,358034.67,25000,2015-03-29,,ACTIVE,BR223,2026-03-11 01:20:00+00:00
ACC00000191,CUST000286,INVESTMENT,GBP,439337.19,25000,2024-07-05,,ACTIVE,BR671,2026-03-19 20:04:00+00:00
ACC00000192,CUST000474,SAVINGS,GBP,257837.2,25000,2018-01-22,,ACTIVE,BR545,2024-07-20 15:07:00+00:00
ACC00000193,CUST000280,SAVINGS,USD,268099.06,0,2025-10-04,,DORMANT,BR767,2025-03-28 02:30:00+00:00
ACC00000194,CUST000280,CURRENT,USD,102935.93,0,2026-03-02,,FROZEN,BR456,2024-07-21 03:34:00+00:00
ACC00000195,CUST000374,CURRENT,GBP,253394.16,50000,2017-10-18,,ACTIVE,BR282,2025-08-26 06:38:00+00:00
ACC00000196,CUST000384,SAVINGS,USD,152687.47,5000,2024-02-04,,ACTIVE,BR125,2025-05-13 09:36:00+00:00
ACC00000197,CUST000289,CURRENT,USD,167057.98,25000,2015-04-24,,ACTIVE,BR986,2024-01-10 18:27:00+00:00
ACC00000198,CUST000338,CURRENT,EUR,316021.18,5000,2019-04-07,,ACTIVE,BR474,2024-04-24 23:56:00+00:00
ACC00000199,CUST000352,SAVINGS,GBP,6827.98,25000,2015-03-01,,ACTIVE,BR975,2025-03-29 20:12:00+00:00
ACC00000200,CUST000214,CURRENT,USD,444611.27,10000,2024-07-13,,ACTIVE,BR577,2025-08-26 20:39:00+00:00
ACC00000201,CUST000053,INVESTMENT,EUR,267665.98,5000,2022-09-27,,ACTIVE,BR889,2026-02-12 14:00:00+00:00
ACC00000202,CUST000397,INVESTMENT,EUR,125638.54,5000,2020-06-23,2023-04-02,ACTIVE,BR786,2024-09-14 13:38:00+00:00
ACC00000203,CUST000275,SAVINGS,GBP,415275.64,0,2015-12-13,,DORMANT,BR454,2024-10-04 15:40:00+00:00
ACC00000204,CUST000253,LOAN,GBP,148490.76,50000,2025-01-23,,ACTIVE,BR845,2024-06-29 10:32:00+00:00
ACC00000205,CUST000329,LOAN,GBP,208486.67,0,2018-10-12,,ACTIVE,BR534,2025-05-09 16:18:00+00:00
ACC00000206,CUST000267,SAVINGS,GBP,250163.67,5000,2020-01-18,,FROZEN,BR318,2025-10-22 09:16:00+00:00
ACC00000207,CUST000300,CURRENT,GBP,364653.01,10000,2018-12-03,,ACTIVE,BR731,2025-06-28 07:21:00+00:00
