transaction_id,account_id,transaction_date,value_date,transaction_type,amount,currency,merchant_category_code,counterparty_id,channel,reference,last_updated_ts
TXN0000000020,ACC00000489,2025-02-04 05:58:00+00:00,2026-04-05 07:17:00+00:00,CREDIT,605.02,GBP,4264,,POS,REFQRUY9AES7K,2024-06-25 17:59:00+00:00
TXN0000000021,ACC00000611,2026-01-08 00:38:00+00:00,2025-06-30 20:01:00+00:00,DEBIT,765.95,GBP,3074,CP9694,ATM,REF9ET3L15R43,2025-10-23 22:20:00+00:00
TXN0000000022,ACC00000425,2025-10-22 05:36:00+00:00,2025-10-18 09:08:00+00:00,CREDIT,83.32,GBP,8586,CP3832,ONLINE,REF3YFTHRUJBB,2025-07-30 17:51:00+00:00
TXN0000000023,ACC00000503,2026-01-13 20:54:00+00:00,2024-10-27 15:37:00+00:00,CREDIT,1299.94,GBP,1996,CP4541,ATM,REFC5LT67RB70,2024-08-15 09:53:00+00:00
TXN0000000024,ACC00000029,2025-05-11 07:22:00+00:00,2025-03-04 01:40:00+00:00,CREDIT,480.9,GBP,6725,CP2248,POS,REF36VKEY4EOO,2024-02-16 04:15:00+00:00
TXN0000000025,ACC00000078,2024-05-10 23:23:00+00:00,2024-02-01 23:03:00+00:00,CREDIT,435.61,EUR,3531,CP9038,POS,REFYVGSUVQ3IK,2024-07-31 13:45:00+00:00
TXN0000000026,ACC00000053,2025-09-22 11:52:00+00:00,2025-08-04 09:00:00+00:00,DEBIT,533.22,GBP,5511,CP6979,ONLINE,REF5LP54RE6HD,2024-02-06 15:28:00+00:00
TXN0000000027,ACC00000018,2025-11-06 21:13:00+00:00,2025-09-07 02:26:00+00:00,DEBIT,883.98,USD,2442,CP4620,POS,REFE8OM9VTLLE,2026-02-12 04:24:00+00:00
TXN0000000028,ACC00000737,2024-08-28 04:10:00+00:00,2025-12-16 11:30:00+00:00,DEBIT,1298.91,GBP,8003,CP2216,POS,REFACNLMG9RRU,2024-09-12 19:30:00+00:00
TXN0000000029,ACC00000696,2024-06-03 20:44:00+00:00,2024-08-21 15:26:00+00:00,CREDIT,611.36,GBP,5213,CP8435,POS,REFTSBC23I4S4,2024-08-31 12:52:00+00:00
TXN0000000030,ACC00000266,2026-02-28 14:14:00+00:00,2024-05-10 09:56:00+00:00,CREDIT,58.24,USD,6143,CP2695,ATM,REF1PSUNCS5IF,2026-02-07 11:44:00+00:00
TXN0000000031,ACC00000072,2025-12-17 19:12:00+00:00,2024-06-20 12:24:00+00:00,DEBIT,1686.59,USD,8065,CP3326,ATM,REF5EXVDN3QF7,2025-07-02 05:43:00+00:00
TXN0000000032,ACC00000746,2025-06-18 19:38:00+00:00,2025-12-12 22:53:00+00:00,DEBIT,53.69,GBP,5911,CP9617,ONLINE,REFGZOBQMFW0T,2026-03-31 06:31:00+00:00
TXN0000000033,ACC00000286,2024-06-27 00:18:00+00:00,2024-05-21 04:23:00+00:00,DEBIT,2106.24,GBP,7251,CP4602,ONLINE,REF2HC6UWEFLG,2025-10-10 21:58:00+00:00
TXN0000000034,ACC00000595,2025-01-07 15:44:00+00:00,2024-09-24 19:09:00+00:00,DEBIT,1330.19,USD,9795,CP2919,POS,REFW1BPZJLZRP,2026-03-26 10:54:00+00:00
TXN0000000035,ACC00000767,2025-12-11 07:50:00+00:00,2024-02-03 07:26:00+00:00,DEBIT,1141.63,USD,7810,CP6787,ATM,REFMHE7H03URP,2024-10-23 15:14:00+00:00
TXN0000000036,ACC00000247,2024-12-28 07:08:00+00:00,2026-03-11 19:14:00+00:00,CREDIT,730.19,USD,7207,CP8573,ONLINE,REFJQHV0WE0BS,2024-02-20 14:16:00+00:00
TXN0000000037,ACC00000053,2024-08-20 13:27:00+00:00,2024-02-24 19:48:00+00:00,CREDIT,169.61,GBP,8648,CP5916,POS,REF3RA7GEVW02,2024-06-06 23:46:00+00:00
TXN0000000038,ACC00000499,2024-03-30 16:22:00+00:00,2024-03-27 22:17:00+00:00,DEBIT,447.4,USD,7497,CP7748,ONLINE,REFIDT815QPY6,2026-03-21 09:10:00+00:00
TXN0000000039,ACC00000253,2024-02-05 15:25:00+00:00,2026-04-30 20:03:00+00:00,DEBIT,580.31,USD,5167,CP1032,ONLINE,REF49NCDOJMUD,2024-06-21 18:20:00+00:00
TXN0000000040,ACC00000724,2024-04-03 01:35:00+00:00,2024-04-12 21:21:00+00:00,CREDIT,1871.53,GBP,7745,,BRANCH,REFKNR1IOTVTK,2025-04-04 14:34:00+00:00
TXN0000000041,ACC00000358,2025-04-15 01:32:00+00:00,2024-05-31 14:15:00+00:00,DEBIT,1533.69,GBP,2967,CP5276,ONLINE,REFA25H9HLV0H,2024-12-11 19:06:00+00:00
TXN0000000042,ACC00000271,2024-07-10 12:38:00+00:00,2024-04-21 22:07:00+00:00,DEBIT,391.62,GBP,5555,CP3681,ONLINE,REFQA5ZZ3AWZ8,2024-05-18 04:16:00+00:00
TXN0000000043,ACC00000141,2025-05-24 03:48:00+00:00,2026-02-09 14:11:00+00:00,DEBIT,1513.06,EUR,3716,CP7531,ONLINE,REF4AGFNRI3QB,2024-03-06 06:45:00+00:00
TXN0000000044,ACC00000243,2025-06-01 05:53:00+00:00,2026-04-19 05:25:00+00:00,CREDIT,649.37,USD,9274,CP2624,ONLINE,REF24DO370DI3,2025-09-02 18:44:00+00:00
TXN0000000045,ACC00000642,2024-07-23 12:02:00+00:00,2024-11-14 02:16:00+00:00,CREDIT,402.03,USD,5997,CP7743,ONLINE,REFIF9FMKHR6L,2024-10-11 04:23:00+00:00
TXN0000000046,ACC00000128,2024-04-11 00:31:00+00:00,2025-05-18 10:26:00+00:00,CREDIT,1393.0,GBP,1136,CP1664,POS,REF3ZMBERLDG4,2024-04-22 10:51:00+00:00
TXN0000000047,ACC00000705,2024-05-07 04:25:00+00:00,2025-08-08 00:56:00+00:00,DEBIT,471.35,GBP,1284,CP3174,ONLINE,REFHSJVNG8IWR,2024-04-01 02:16:00+00:00
TXN0000000048,ACC00000131,2024-04-12 11:41:00+00:00,2024-01-12 20:04:00+00:00,CREDIT,898.5,USD,1082,CP9842,ONLINE,REFK83HP0ZVVZ,2024-01-25 09:14:00+00:00
TXN0000000049,ACC00000095,2026-04-23 17:14:00+00:00,2025-06-18 08:08:00+00:00,CREDIT,1475.23,EUR,1221,CP7279,ONLINE,REF2UUCMDW0C5,2024-02-11 00:02:00+00:00
TXN0000000050,ACC00000729,2025-07-25 21:35:00+00:00,2025-09-17 07:13:00+00:00,DEBIT,1433.6,GBP,2797,CP7993,POS,REF7TC13H4UXN,2024-12-24 03:49:00+00:00
TXN0000000051,ACC00000328,2025-10-09 05:45:00+00:00,2024-12-03 19:33:00+00:00,DEBIT,1928.53,USD,4468,CP9026,POS,REFX1XH4CWUXI,2025-05-12 18:14:00+00:00
TXN0000000052,ACC00000450,2024-04-01 15:42:00+00:00,2026-01-24 08:28:00+00:00,DEBIT,800.02,GBP,8267,CP8007,ONLINE,REFFJVAC8G0TA,2025-10-04 10:56:00+00:00
TXN0000000053,ACC00000503,2026-03-23 20:27:00+00:00,2026-03-31 09:10:00+00:00,DEBIT,1023.68,GBP,5310,CP7146,ONLINE,REF0P47EWQQVH,2024-05-31 00:07:00+00:00
TXN0000000054,ACC00000560,2025-12-25 08:34:00+00:00,2024-06-10 18:34:00+00:00,CREDIT,237.91,GBP,4135,CP7097,ONLINE,REF4GOWOJ587P,2026-03-01 04:50:00+00:00
TXN0000000055,ACC00000225,2024-09-21 12:30:00+00:00,2025-10-14 07:53:00+00:00,CREDIT,550.99,GBP,8329,CP4910,POS,REF1WUOAGPUW3,2025-12-11 06:40:00+00:00
TXN0000000056,ACC00000679,2024-07-24 10:28:00+00:00,2026-03-23 20:48:00+00:00,CREDIT,751.25,GBP,9365,CP1302,ONLINE,REFBLO820WL0G,2025-12-08 14:54:00+00:00
TXN0000000057,ACC00000200,2026-02-10 08:08:00+00:00,2024-11-26 19:26:00+00:00,DEBIT,219.95,GBP,5443,CP8419,ONLINE,REFT66FN3N20V,2025-04-22 16:58:00+00:00
TXN0000000058,ACC00000091,2024-05-28 06:13:00+00:00,2025-12-01 13:58:00+00:00,DEBIT,696.27,USD,9013,CP1183,ATM,REFRT4FQGIWAO,2024-12-12 09:32:00+00:00
TXN0000000059,ACC00000757,2025-12-08 04:09:00+00:00,2025-12-11 15:50:00+00:00,CREDIT,555.47,GBP,2599,CP5517,ONLINE,REFA9VIO4EG3K,2025-09-20 23:23:00+00:00
TXN0000000060,ACC00000728,2024-06-14 22:32:00+00:00,2025-05-03 02:22:00+00:00,DEBIT,906.18,GBP,1282,CP4207,POS,REFX0H9DRAYRH,2024-05-25 17:26:00+00:00
TXN0000000061,ACC00000078,2024-01-18 20:06:00+00:00,2024-09-12 19:01:00+00:00,DEBIT,1232.99,USD,8777,CP4791,ONLINE,REFRRWSKJ3J7B,2026-03-31 21:52:00+00:00
TXN0000000062,ACC00000032,2026-02-11 19:18:00+00:00,2026-03-19 05:10:00+00:00,DEBIT,333.85,GBP,4936,CP1833,POS,REFT42ZRTGZYI,2024-07-09 21:57:00+00:00
TXN0000000063,ACC00000705,2024-09-16 04:22:00+00:00,2025-03-17 05:47:00+00:00,CREDIT,253.77,GBP,9317,,POS,REFZCFNKLXJHS,2024-07-07 01:46:00+00:00
TXN0000000064,ACC00000379,2025-07-27 21:54:00+00:00,2024-11-04 14:46:00+00:00,CREDIT,142.49,EUR,3921,CP3444,ONLINE,REF3A8MBTFF15,2025-12-09 07:49:00+00:00
TXN0000000065,ACC00000382,2026-01-28 18:09:00+00:00,2026-03-09 07:25:00+00:00,CREDIT,774.44,USD,4120,CP3147,POS,REF065GGA23S8,2024-12-22 23:01:00+00:00
TXN0000000066,ACC00000614,2026-01-04 21:43:00+00:00,2024-11-28 00:02:00+00:00,DEBIT,512.72,EUR,3956,,BRANCH,REFW6RUTJCFI1,2026-04-24 09:01:00+00:00
TXN0000000067,ACC00000469,2025-10-08 05:11:00+00:00,2026-01-06 06:09:00+00:00,DEBIT,351.21,USD,3412,CP8686,POS,REFL1SJ7AU8HF,2024-02-05 09:37:00+00:00
TXN0000000068,ACC00000791,2026-01-21 11:25:00+00:00,2025-09-11 18:01:00+00:00,DEBIT,149.92,GBP,6326,CP9147,ATM,REFPAH82U972S,2024-06-07 05:11:00+00:00
TXN0000000069,ACC00000290,2024-02-28 12:11:00+00:00,2025-08-11 01:45:00+00:00,CREDIT,1381.02,GBP,9883,CP9233,ONLINE,REFBJHWNLCWSO,2025-02-09 20:28:00+00:00
TXN0000000070,ACC00000353,2026-04-20 19:21:00+00:00,2025-10-13 01:27:00+00:00,CREDIT,929.32,USD,4653,CP9798,ONLINE,REFIEYL92AQV2,2026-03-26 02:31:00+00:00
TXN0000000071,ACC00000458,2024-08-04 11:41:00+00:00,2024-11-03 14:26:00+00:00,CREDIT,763.18,GBP,4656,CP3025,ONLINE,REFKN4AR8D3MW,2025-04-04 22:08:00+00:00
TXN0000000072,ACC00000358,2024-02-20 12:15:00+00:00,2024-03-10 20:19:00+00:00,CREDIT,930.09,USD,8878,CP3853,ONLINE,REF4QIMYJB939,2024-02-01 19:05:00+00:00
TXN0000000073,ACC00000016,2026-05-03 20:50:00+00:00,2024-11-04 04:28:00+00:00,CREDIT,52.48,USD,8004,CP2124,POS,REFXX936XY09H,2026-02-25 05:23:00+00:00
TXN0000000074,ACC00000394,2026-01-09 15:55:00+00:00,2025-05-30 15:15:00+00:00,DEBIT,1663.94,GBP,3694,CP5275,ONLINE,REFZ5O115I0WF,2025-09-23 23:56:00+00:00
TXN0000000075,ACC00000538,2026-03-28 07:04:00+00:00,2026-01-25 22:20:00+00:00,CREDIT,1133.42,GBP,3314,,ONLINE,REF6RD6RT3OJL,2025-01-23 11:49:00+00:00
TXN0000000076,ACC00000276,2025-10-25 03:34:00+00:00,2024-11-21 08:42:00+00:00,CREDIT,185.98,USD,4425,CP1060,POS,REFNXORT6SG0S,2024-05-01 16:33:00+00:00
TXN0000000077,ACC00000272,2024-02-26 08:25:00+00:00,2024-02-23 22:58:00+00:00,CREDIT,103.24,USD,4855,CP1428,POS,REFZDR50DZPO8,2024-06-24 23:52:00+00:00
TXN0000000078,ACC00000069,2025-12-01 15:17:00+00:00,2024-10-17 05:41:00+00:00,CREDIT,1421.39,USD,5400,CP3941,POS,REFI87R2X0MMZ,2024-09-12 20:30:00+00:00
TXN0000000079,ACC00000296,2024-04-17 07:00:00+00:00,2024-09-11 03:25:00+00:00,DEBIT,772.58,USD,6398,CP5819,POS,REFDJDK7ZTCLA,2025-08-27 06:28:00+00:00
TXN0000000080,ACC00000142,2025-05-12 21:20:00+00:00,2025-09-26 15:38:00+00:00,DEBIT,677.57,GBP,1727,CP8096,ATM,REFKIXG21CZDA,2025-09-30 20:13:00+00:00
TXN0000000081,ACC00000500,2024-08-22 17:19:00+00:00,2024-05-27 23:45:00+00:00,CREDIT,101.52,GBP,2894,,POS,REFDEABKLGTP8,2025-08-17 15:58:00+00:00
TXN0000000082,ACC00000542,2026-03-01 03:41:00+00:00,2026-02-06 01:47:00+00:00,CREDIT,1832.98,USD,6608,CP6337,ONLINE,REFSZB0DWOILD,2025-01-15 03:57:00+00:00
TXN0000000083,ACC00000734,2025-07-29 10:09:00+00:00,2025-03-19 14:23:00+00:00,CREDIT,1055.5,GBP,5521,,POS,REFRFGZMO4FRU,2024-02-21 14:35:00+00:00
TXN0000000084,ACC00000089,2024-01-14 21:04:00+00:00,2026-04-10 08:36:00+00:00,CREDIT,585.04,GBP,2943,CP6888,POS,REFY474MRFNED,2024-07-20 17:01:00+00:00
TXN0000000085,ACC00000749,2024-08-13 12:11:00+00:00,2024-08-18 19:12:00+00:00,DEBIT,747.88,USD,8712,CP7520,ONLINE,REFA9PKVR5PEG,2025-03-01 04:57:00+00:00
TXN0000000086,ACC00000769,2025-02-14 21:03:00+00:00,2024-11-09 07:43:00+00:00,DEBIT,188.74,USD,9090,CP4001,POS,REFE3OPM3XP40,2024-07-30 19:17:00+00:00
TXN0000000087,ACC00000158,2025-06-04 09:42:00+00:00,2025-08-11 12:37:00+00:00,CREDIT,392.95,GBP,7633,CP6814,BRANCH,REFDYGNN5DFMM,2025-03-22 13:51:00+00:00
TXN0000000088,ACC00000508,2025-02-12 07:36:00+00:00,2024-01-20 08:20:00+00:00,DEBIT,1830.6,GBP,7046,CP1859,BRANCH,REFEVI1O5UCRV,2024-05-03 19:22:00+00:00
TXN0000000089,ACC00000234,2026-04-28 23:30:00+00:00,2024-08-05 23:49:00+00:00,CREDIT,898.34,GBP,8566,CP4578,POS,REF50YQVIWWR8,2024-05-10 12:04:00+00:00
TXN0000000090,ACC00000635,2025-11-03 11:24:00+00:00,2025-11-18 18:55:00+00:00,DEBIT,1197.99,GBP,9831,CP9682,BRANCH,REFH22SN5Q94U,2024-08-17 05:22:00+00:00
TXN0000000091,ACC00000630,2024-03-05 10:46:00+00:00,2024-07-06 22:22:00+00:00,DEBIT,476.94,GBP,7906,CP3876,ONLINE,REFJX9TKWPJMW,2024-08-09 03:33:00+00:00
TXN0000000092,ACC00000284,2024-10-10 15:02:00+00:00,2024-06-27 16:30:00+00:00,CREDIT,160.47,GBP,8161,CP9553,POS,REFJD85KOG3LN,2026-03-04 07:28:00+00:00
TXN0000000093,ACC00000787,2025-01-05 10:16:00+00:00,2025-07-25 22:14:00+00:00,CREDIT,1233.41,GBP,2286,CP2939,POS,REFOYZA84QAMZ,2026-04-11 16:39:00+00:00
TXN0000000094,ACC00000396,2025-08-05 02:51:00+00:00,2024-12-08 14:12:00+00:00,CREDIT,544.68,GBP,1693,CP7477,POS,REFILE6OLRB4S,2024-01-28 08:41:00+00:00
TXN0000000095,ACC00000498,2024-06-27 20:42:00+00:00,2024-09-11 16:06:00+00:00,CREDIT,693.49,USD,1826,CP2272,ONLINE,REFQC6I0GQIR3,2025-02-02 04:31:00+00:00
TXN0000000096,ACC00000473,2024-03-09 11:05:00+00:00,2024-08-14 07:01:00+00:00,CREDIT,634.84,EUR,1585,CP5175,ONLINE,REFSPFOH24XCL,2024-02-17 13:48:00+00:00
TXN0000000097,ACC00000794,2025-03-14 23:17:00+00:00,2025-05-07 07:17:00+00:00,CREDIT,1974.54,GBP,1311,CP6985,ONLINE,REFQRPJ0PPKJU,2024-04-29 22:54:00+00:00
TXN0000000098,ACC00000293,2024-03-14 02:36:00+00:00,2024-12-14 07:40:00+00:00,CREDIT,252.88,GBP,6758,CP5857,ONLINE,REFOY74XPAAKH,2026-01-25 06:46:00+00:00
TXN0000000099,ACC00000203,2026-02-23 21:21:00+00:00,2025-11-26 06:03:00+00:00,CREDIT,635.76,USD,2413,CP4435,ONLINE,REF0IM9DBYQ2Z,2026-01-26 23:57:00+00:00
TXN0000000100,ACC00000411,2024-12-03 13:17:00+00:00,2024-07-04 07:27:00+00:00,DEBIT,794.02,GBP,3008,CP5290,BRANCH,REFWA6Y1NAXZW,2024-05-18 05:41:00+00:00
TXN0000000101,ACC00000786,2024-01-18 18:59:00+00:00,2024-11-13 03:54:00+00:00,DEBIT,797.83,EUR,9678,CP8487,ATM,REFKMR1FDFEHC,2024-02-10 23:16:00+00:00
TXN0000000102,ACC00000724,2025-11-17 02:36:00+00:00,2024-07-02 04:18:00+00:00,DEBIT,1142.04,GBP,7245,,POS,REF8I7B15TRZ1,2024-01-12 00:28:00+00:00
TXN0000000103,ACC00000019,2026-01-08 12:37:00+00:00,2026-02-15 15:59:00+00:00,DEBIT,746.57,EUR,3665,CP6274,ATM,REFQK5GPAF7W0,2024-03-14 17:19:00+00:00
TXN0000000104,ACC00000255,2024-08-04 18:20:00+00:00,2024-09-16 00:40:00+00:00,CREDIT,2089.26,GBP,5393,CP3528,POS,REFJYSCSW9EBF,2025-06-06 12:53:00+00:00
TXN0000000105,ACC00000134,2025-04-06 17:31:00+00:00,2025-08-06 17:23:00+00:00,CREDIT,754.12,GBP,9185,,POS,REF4TQEYBFUMH,2024-03-15 10:36:00+00:00
TXN0000000106,ACC00000520,2025-01-01 05:03:00+00:00,2024-07-14 22:52:00+00:00,DEBIT,961.54,GBP,4911,CP8099,ONLINE,REF1MLFL3KSIG,2025-09-16 15:12:00+00:00
TXN0000000107,ACC00000561,2025-05-03 00:51:00+00:00,2025-04-14 05:03:00+00:00,DEBIT,317.9,USD,4526,CP7363,POS,REFMM1O5CMKQG,2025-04-13 00:27:00+00:00
TXN0000000108,ACC00000211,2024-05-20 00:16:00+00:00,2024-09-04 07:22:00+00:00,CREDIT,241.44,GBP,4376,CP3321,POS,REFAXKKTYP3CS,2025-03-10 06:11:00+00:00
TXN0000000109,ACC00000797,2024-06-21 13:10:00+00:00,2024-02-15 10:58:00+00:00,DEBIT,540.91,USD,5937,CP7764,ONLINE,REFHXMJIKQNJY,2025-09-01 05:33:00+00:00
TXN0000000110,ACC00000271,2025-11-13 00:04:00+00:00,2024-03-15 12:03:00+00:00,CREDIT,1198.71,GBP,9326,CP5115,ATM,REF02LKZQGPUI,2026-02-27 15:07:00+00:00
TXN0000000111,ACC00000219,2025-09-29 20:31:00+00:00,2024-05-08 07:52:00+00:00,DEBIT,1193.92,USD,2396,CP2814,ATM,REFXKSORQ6GZR,2026-04-20 00:54:00+00:00
TXN0000000112,ACC00000797,2024-04-08 04:46:00+00:00,2024-05-15 10:06:00+00:00,CREDIT,1897.02,EUR,5672,CP2273,POS,REF2RJEPZDFYM,2025-01-13 05:24:00+00:00
TXN0000000113,ACC00000526,2025-11-08 02:09:00+00:00,2026-04-18 00:31:00+00:00,DEBIT,88.55,USD,1919,CP7713,ATM,REFEM3SATVUAD,2024-02-23 12:59:00+00:00
TXN0000000114,ACC00000528,2024-11-10 02:12:00+00:00,2025-12-26 02:23:00+00:00,DEBIT,339.37,GBP,3103,CP9030,POS,REF7CN5UBY4VB,2024-03-08 01:19:00+00:00
TXN0000000115,ACC00000267,2025-08-08 07:48:00+00:00,2024-12-31 10:34:00+00:00,DEBIT,1367.7,GBP,7467,CP2875,ONLINE,REFZUJ1IAHBYQ,2025-04-26 23:08:00+00:00
TXN0000000116,ACC00000026,2026-01-03 13:57:00+00:00,2025-05-25 01:51:00+00:00,DEBIT,738.67,GBP,7371,CP1753,POS,REFR5CT3G5RGL,2025-03-04 17:21:00+00:00
TXN0000000117,ACC00000698,2025-09-27 12:29:00+00:00,2025-08-24 08:40:00+00:00,CREDIT,380.72,GBP,4691,,ONLINE,REFYT4W0XGJO1,2024-08-17 08:07:00+00:00
TXN0000000118,ACC00000742,2025-06-28 18:41:00+00:00,2025-12-16 01:17:00+00:00,CREDIT,791.92,USD,2412,,ONLINE,REFK3HW6QGLR9,2024-08-04 06:09:00+00:00
TXN0000000119,ACC00000009,2025-04-09 12:02:00+00:00,2024-06-04 04:57:00+00:00,DEBIT,1056.7,USD,6243,CP8717,POS,REFSA4EJHF2ID,2025-05-14 15:03:00+00:00
TXN0000000120,ACC00000459,2025-08-02 16:30:00+00:00,2025-10-25 21:43:00+00:00,DEBIT,174.9,GBP,6695,CP7276,ONLINE,REFZB4H16W1EQ,2025-11-07 11:44:00+00:00
TXN0000000121,ACC00000243,2024-08-08 02:10:00+00:00,2024-11-02 10:25:00+00:00,CREDIT,252.75,GBP,6750,CP1761,ONLINE,REFGMDVKOK3NV,2025-12-20 20:25:00+00:00
TXN0000000122,ACC00000160,2025-03-12 15:57:00+00:00,2024-11-08 02:05:00+00:00,CREDIT,278.88,EUR,9613,,POS,REFUFM8HCT4ZJ,2025-02-18 21:09:00+00:00
TXN0000000123,ACC00000377,2025-05-10 07:05:00+00:00,2025-08-30 19:10:00+00:00,CREDIT,85.06,USD,1783,CP1407,ONLINE,REF5ZOBSHO8R3,2025-04-10 15:49:00+00:00
TXN0000000124,ACC00000311,2026-03-28 19:49:00+00:00,2025-01-15 11:54:00+00:00,DEBIT,912.22,GBP,1309,CP5095,ATM,REFPXC4QD809O,2026-01-25 23:07:00+00:00
TXN0000000125,ACC00000557,2024-07-08 04:28:00+00:00,2024-03-30 04:20:00+00:00,CREDIT,1372.72,USD,9247,CP8046,ONLINE,REFJO7BHOKD1Q,2024-09-26 16:30:00+00:00
TXN0000000126,ACC00000217,2025-10-29 12:43:00+00:00,2024-08-26 16:51:00+00:00,DEBIT,700.0,GBP,8879,CP3142,POS,REFDJFZALL2DP,2025-12-02 10:18:00+00:00
TXN0000000127,ACC00000301,2026-02-21 00:29:00+00:00,2026-04-12 01:31:00+00:00,CREDIT,1079.76,USD,7070,CP3732,POS,REFSZ63WZU2WC,2026-02-01 06:42:00+00:00
TXN0000000128,ACC00000294,2024-12-13 22:36:00+00:00,2026-02-28 16:04:00+00:00,DEBIT,1226.7,GBP,9163,CP6630,ATM,REF65PTNY89V8,2025-09-26 18:32:00+00:00
TXN0000000129,ACC00000411,2025-06-27 17:39:00+00:00,2025-08-23 02:54:00+00:00,DEBIT,1784.53,GBP,6545,CP3310,POS,REFVYGVYE4P4V,2026-01-02 02:17:00+00:00
TXN0000000130,ACC00000795,2025-05-01 20:34:00+00:00,2024-09-12 23:56:00+00:00,DEBIT,798.39,USD,8551,,POS,REFPC985J8SFJ,2025-10-26 12:26:00+00:00
TXN0000000131,ACC00000340,2025-03-06 11:15:00+00:00,2024-12-19 00:22:00+00:00,DEBIT,313.41,GBP,6382,CP3706,ONLINE,REF2ZEXBTAALB,2025-12-15 07:46:00+00:00
TXN0000000132,ACC00000566,2025-10-14 06:40:00+00:00,2026-01-02 23:14:00+00:00,DEBIT,1428.95,USD,2614,CP6508,ONLINE,REF30W8R1C4Z4,2025-11-10 07:27:00+00:00
